Time, Joy, Sadness, Disgust, Contempt, Anger, Fear, Surprise, Valence, Engagement 
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,410,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,410,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,4^M

10,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,4
10,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,4
10,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,4
line break
10,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,4
